SearchName,Number,Transcript,Speaker,Line,LineEnd,MatchId,URL,Before Match,Text,After Match,Target word,Target word start,Target word end,Target orthography,Match segment,Target segment,Target segment start,Target segment end,Variant,Foll_seg,Morpho status
_^(l)$,1,CB10interview2.eaf,CB10,18.418,22.534,g_13;em_12_3409;n_67826-n_67828;p_10;#=es_1_35626;prefix=01-;[0]=ew_0_28649,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28649,was,always,busy,always,21.677999999999997,21.888,always,$lw@z,l,21.708,21.738,Deleted,Cons,P
_^(l)$,2,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35696;prefix=02-;[0]=ew_0_28670,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28670,from,Butler,to,Butler,28.017,28.417,butler,bVtl@,l,28.257,28.307,Deleted,NonC,nonpast
_^(l)$,3,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35722;prefix=03-;[0]=ew_0_28678,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28678,it,always,being,always,30.107,30.587,always,$lwIz,l,30.217,30.437,Deleted,Cons,nonpast
_^(l)$,4,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35749;prefix=04-;[0]=ew_0_28687,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28687,new,lot,a,lot,33.267,33.637,lot,lQt,l,33.267,33.317,Deleted,NonC,nonpast
_^(l)$,5,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35753;prefix=05-;[0]=ew_0_28689,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28689,a,lot,of,lot,33.677,33.807,lot,lQt,l,33.677,33.707,Deleted,Cons,P
_^(l)$,6,CB10interview2.eaf,CB10,34.538,36.934,g_13;em_12_3413;n_67834-n_67836;p_10;#=es_1_35773;prefix=06-;[0]=ew_0_28694,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28694,on,Lindsay,most,Lindsay,35.467999999999996,35.738,lindsay,lInzi,l,35.467999999999996,35.498,Retained,Cons,nonpast
_^(l)$,7,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35799;prefix=07-;[0]=ew_0_28703,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28703,been,established,and,established,37.477,38.307,established,Est{blISt,l,37.967,38.027,Deleted,Cons,nonpast
_^(l)$,8,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35805;prefix=08-;[0]=ew_0_28706,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28706,a,lot,of,lot,38.697,38.827,lot,lQt,l,38.697,38.727,Deleted,Cons,nonpast
_^(l)$,9,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35815;prefix=09-;[0]=ew_0_28709,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28709,the,families,that,families,39.127,39.617,families,f{mlIz,l,39.407,39.457,Retained,Cons,P
_^(l)$,10,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35821;prefix=10-;[0]=ew_0_28711,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28711,that,live,there,live,40.157,40.367,live,lIv,l,40.157,40.197,Deleted,Cons,nonpast
_^(l)$,11,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35828;prefix=11-;[0]=ew_0_28714,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28714,have,lived,there,lived,40.897,41.027,lived,lIvd,l,40.897,40.927,Retained,NonC,P
_^(l)$,12,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35836;prefix=12-;[0]=ew_0_28717,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28717,as,long,as,long,41.347,41.597,long,lQN,l,41.347,41.397,Deleted,NonC,P
_^(l)$,13,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35843;prefix=13-;[0]=ew_0_28721,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28721,have,lived,there,lived,42.097,42.247,lived,lIvd,l,42.097,42.147,Deleted,NonC,nonpast
_^(l)$,14,CB10interview2.eaf,CB10,43.267,52.826,g_13;em_12_3417;n_67840-n_67842;p_10;#=es_1_35907;prefix=14-;[0]=ew_0_28747,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28747,a,long,time,long,50.917,51.277,long,lQN,l,50.917,51.017,Deleted,NonC,nonpast
_^(l)$,15,CB10interview2.eaf,CB10,52.826,59.349,g_13;em_12_3418;n_67842-n_67843;p_10;#=es_1_35927;prefix=15-;[0]=ew_0_28752,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28752,more,development,like,development,53.096,53.746,development,d@vEl@pm@nt,l,53.326,53.476,Retained,NonC,P
_^(l)$,16,CB10interview2.eaf,CB10,52.826,59.349,g_13;em_12_3418;n_67842-n_67843;p_10;#=es_1_35934;prefix=16-;[0]=ew_0_28753,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28753,development,like,as,like,53.786,53.986,like,l2k,l,53.786,53.816,Retained,NonC,P
_^(l)$,17,CB10interview2.eaf,CB10,52.826,59.349,g_13;em_12_3418;n_67842-n_67843;p_10;#=es_1_35960;prefix=17-;[0]=ew_0_28763,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28763,was,like,a,like,55.936,56.116,like,l2k,l,55.936,55.966,Deleted,Cons,P
_^(l)$,18,CB10interview2.eaf,CB10,52.826,59.349,g_13;em_12_3418;n_67842-n_67843;p_10;#=es_1_35964;prefix=18-;[0]=ew_0_28765,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28765,a,large,farm,large,56.206,56.516,large,l#_,l,56.206,56.286,Deleted,NonC,P
_^(l)$,19,CB10interview2.eaf,CB10,52.826,59.349,g_13;em_12_3418;n_67842-n_67843;p_10;#=es_1_35974;prefix=19-;[0]=ew_0_28768,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28768,for,sale .,that,sale .,57.046,57.546,sale,s1l,l,57.386,57.546,Deleted,NonC,nonpast
_^(l)$,20,CB10interview2.eaf,CB10,59.731,65.255,g_13;em_12_3423;n_67844-n_67845;p_10;#=es_1_36000;prefix=20-;[0]=ew_0_28785,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28785,immediate,little,zone .,little,60.931,61.211,little,lItP,l,60.931,60.961,Retained,Cons,P
_^(l)$,21,CB10interview2.eaf,CB10,59.731,65.255,g_13;em_12_3423;n_67844-n_67845;p_10;#=es_1_36022;prefix=21-;[0]=ew_0_28791,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28791,property,below,and,below,63.631,64.071,below,bIl5,l,63.731,63.841,Deleted,NonC,nonpast
_^(l)$,22,CB10interview2.eaf,CB10,65.605,67.5,g_13;em_12_3425;n_67846-n_67847;p_10;#=es_1_36041;prefix=22-;[0]=ew_0_28799,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28799,haven't,really,been,really,66.08500000000001,66.405,really,r7lI,l,66.215,66.275,Deleted,NonC,P
_^(l)$,23,CB10interview2.eaf,CB10,69.944,77.339,g_13;em_12_3427;n_67848-n_67849;p_10;#=es_1_36064;prefix=23-;[0]=ew_0_28811,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28811,dad,built,that,built,70.59400000000001,70.764,built,bIlt,l,70.664,70.73400000000001,Deleted,Cons,nonpast
_^(l)$,24,CB10interview2.eaf,CB10,69.944,77.339,g_13;em_12_3427;n_67848-n_67849;p_10;#=es_1_36088;prefix=24-;[0]=ew_0_28818,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28818,they,lived,in,lived,73.584,73.884,lived,lIvd,l,73.584,73.654,Retained,Cons,nonpast
_^(l)$,25,CB10interview2.eaf,CB10,87.87,91.3,g_13;em_12_3433;n_67854-n_67856;p_10;#=es_1_36197;prefix=25-;[0]=ew_0_28877,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28877,are,probably,the,probably,89.43,90.1,probably,prQb@blI,l,89.86,89.93,Deleted,Cons,nonpast
_^(l)$,26,CB10interview2.eaf,CB10,91.922,97.596,g_13;em_12_3435;n_67858-n_69851;p_10;#=es_1_36219;prefix=26-;[0]=ew_0_28883,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28883,been -,probably,another,probably,94.862,95.612,probably,prQb@blI,l,95.412,95.572,Retained,Cons,P
_^(l)$,27,CB10interview2.eaf,CB10,91.922,97.596,g_13;em_12_3435;n_67858-n_69851;p_10;#=es_1_36241;prefix=27-;[0]=ew_0_28890,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28890,were,built,in,built,96.542,96.682,built,bIlt,l,96.622,96.652,Deleted,NonC,nonpast
_^(l)$,28,CB10interview2.eaf,CB10,98.03,99.301,g_13;em_12_3437;n_67862-n_67863;p_10;#=es_1_36259;prefix=28-;[0]=ew_0_28898,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28898,your,split,entry,split,98.05,98.42,split,splIt,l,98.22,98.3,Retained,Cons,P
_^(l)$,29,CB10interview2.eaf,CB10,117.653,122.045,g_13;em_12_3454;n_67876-n_67878;p_10;#=es_1_36343;prefix=29-;[0]=ew_0_28985,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28985,or,less,see,less,119.453,119.663,less,lEs,l,119.453,119.533,Retained,NonC,P
_^(l)$,30,CB10interview2.eaf,CB10,122.633,125.541,g_13;em_12_3456;n_67880-n_67882;p_10;#=es_1_36383;prefix=30-;[0]=ew_0_29003,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29003,I,live,there's .,live,124.913,125.153,live,lIv,l,124.913,124.983,Deleted,NonC,nonpast
_^(l)$,31,CB10interview2.eaf,CB10,131.567,132.854,g_13;em_12_3458;n_67884-n_67886;p_10;#=es_1_36437;prefix=31-;[0]=ew_0_29018,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29018,um,asphalt,and,asphalt,131.58700000000002,132.067,asphalt,{sf{lt,l,131.907,132.02700000000002,Deleted,NonC,nonpast
_^(l)$,32,CB10interview2.eaf,CB10,131.567,132.854,g_13;em_12_3458;n_67884-n_67886;p_10;#=es_1_36445;prefix=32-;[0]=ew_0_29023,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29023,a,lot,of,lot,132.447,132.567,lot,lQt,l,132.447,132.497,Retained,NonC,nonpast
_^(l)$,33,CB10interview2.eaf,CB10,133.602,140.678,g_13;em_12_3460;n_67888-n_67890;p_10;#=es_1_36473;prefix=33-;[0]=ew_0_29031,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29031,it's,all,woods,all,136.042,136.522,all,$l,l,136.492,136.522,Deleted,Cons,nonpast
_^(l)$,34,CB10interview2.eaf,CB10,141.32,143.35,g_13;em_12_3462;n_67892-n_67893;p_10;#=es_1_36519;prefix=34-;[0]=ew_0_29049,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29049,my,little,world,little,142.35,142.59,little,lItP,l,142.35,142.4,Retained,NonC,nonpast
_^(l)$,35,CB10interview2.eaf,CB10,141.32,143.35,g_13;em_12_3462;n_67892-n_67893;p_10;#=es_1_36525;prefix=35-;[0]=ew_0_29050,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29050,little,world,they,world,142.59,142.82999999999998,world,w3ld,l,142.73,142.78,Retained,Cons,nonpast
_^(l)$,36,CB10interview2.eaf,CB10,151.987,155.059,g_13;em_12_3470;n_67897-n_67899;p_10;#=es_1_36618;prefix=36-;[0]=ew_0_29099,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29099,just,logistically,get,logistically,153.617,154.237,logistically,l@_IstIklI,l,153.617,153.677,Deleted,NonC,nonpast
_^(l)$,37,CB10interview2.eaf,CB10,151.987,155.059,g_13;em_12_3470;n_67897-n_67899;p_10;#=es_1_36626;prefix=37-;[0]=ew_0_29099,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29099,just,logistically,get,logistically,153.617,154.237,logistically,l@_IstIklI,l,154.107,154.15699999999998,Retained,NonC,P
_^(l)$,38,CB10interview2.eaf,CB10,162.494,172.273,g_13;em_12_3486;n_67915-n_67917;p_10;#=es_1_36675;prefix=38-;[0]=ew_0_29133,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29133,that,little,road,little,164.214,164.474,little,lItP,l,164.214,164.304,Retained,NonC,nonpast
_^(l)$,39,CB10interview2.eaf,CB10,162.494,172.273,g_13;em_12_3486;n_67915-n_67917;p_10;#=es_1_36695;prefix=39-;[0]=ew_0_29138,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29138,a,particular,couple,particular,165.304,165.824,particular,p@tIkj@l@,l,165.694,165.764,Deleted,NonC,nonpast
_^(l)$,40,CB10interview2.eaf,CB10,162.494,172.273,g_13;em_12_3486;n_67915-n_67917;p_10;#=es_1_36753;prefix=40-;[0]=ew_0_29158,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29158,a,little,bit,little,171.834,172.094,little,lItP,l,171.834,171.904,Retained,NonC,nonpast
_^(l)$,41,CB10interview2.eaf,CB10,172.713,178.225,g_13;em_12_3488;n_67919-n_67920;p_10;#=es_1_36808;prefix=41-;[0]=ew_0_29176,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29176,it's,always,planned,always,177.283,177.573,always,$lwIz,l,177.373,177.423,Deleted,NonC,P
_^(l)$,42,CB10interview2.eaf,CB10,172.713,178.225,g_13;em_12_3488;n_67919-n_67920;p_10;#=es_1_36813;prefix=42-;[0]=ew_0_29177,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29177,always,planned,NA,planned,177.703,178.113,planned,pl{nd,l,177.753,177.793,Deleted,NonC,P
_^(l)$,43,CB10interview2.eaf,CB10,201.664,205.568,g_13;em_12_3498;n_67923-n_69853;p_10;#=es_1_36829;prefix=43-;[0]=ew_0_29247,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29247,country .,definitely,country,definitely,202.524,202.894,definitely,dEfn@tlI,l,202.80399999999997,202.83399999999995,Deleted,Cons,nonpast
_^(l)$,44,CB10interview2.eaf,CB10,206.324,207.69,g_13;em_12_3500;n_67927-n_67928;p_10;#=es_1_36864;prefix=44-;[0]=ew_0_29262,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29262,I,really,enjoy,really,206.754,207.044,really,r7lI,l,206.904,206.964,Retained,Cons,nonpast
_^(l)$,45,CB10interview2.eaf,CB10,219.689,227.892,g_13;em_12_3509;n_67935-n_67937;p_10;#=es_1_36952;prefix=45-;[0]=ew_0_29323,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29323,his,family,come .,family,222.689,223.139,family,f{mlI,l,222.949,222.989,Retained,Cons,P
_^(l)$,46,CB10interview2.eaf,CB10,219.689,227.892,g_13;em_12_3509;n_67935-n_67937;p_10;#=es_1_36967;prefix=46-;[0]=ew_0_29327,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29327,Beaver,Falls,out,Falls,224.549,224.979,falls,f$lz,l,224.909,224.939,Retained,Cons,P
_^(l)$,47,CB10interview2.eaf,CB10,219.689,227.892,g_13;em_12_3509;n_67935-n_67937;p_10;#=es_1_36980;prefix=47-;[0]=ew_0_29331,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29331,just .,well,dark,well,225.799,225.919,well,wEl,l,225.869,225.919,Deleted,NonC,nonpast
_^(l)$,48,CB10interview2.eaf,CB10,219.689,227.892,g_13;em_12_3509;n_67935-n_67937;p_10;#=es_1_36988;prefix=48-;[0]=ew_0_29334,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_29334,out,well,yeah,well,227.049,227.159,well,wEl,l,227.129,227.159,Retained,NonC,nonpast
